DistanceFromVenue,Availability,InterestLevel,RelationshipWithHost,SocialCircleAttendance,MaritalStatus,PersonalInvitation,WeatherForecast,PreviousAttendance,TransportationAvailability,WillAttend
48,0,5,8,70,1,1,0,0,1,1
20,1,5,9,60,0,0,1,0,0,1
8,0,8,5,62,0,1,1,0,0,1
7,1,10,6,60,1,0,1,1,0,1
3,0,4,6,13,1,0,1,1,1,1
17,1,9,6,22,0,0,1,1,1,1
33,1,7,2,64,1,0,1,1,1,1
48,1,7,4,31,0,1,0,1,0,1
12,1,3,1,40,1,0,0,0,1,1
22,0,4,1,25,1,1,0,0,0,1
22,0,7,1,47,0,0,1,1,1,1
46,0,5,7,72,0,0,0,1,0,1
30,1,3,1,15,1,0,1,1,1,1
38,0,1,6,30,0,0,0,1,0,1
38,0,7,2,65,1,1,1,0,1,1
45,0,6,6,31,1,1,0,0,0,1
8,0,10,6,9,0,0,0,1,1,1
27,1,7,3,24,1,1,0,1,0,1
27,1,2,8,81,1,1,0,0,1,1
34,0,4,4,97,0,0,1,0,1,1
21,0,2,7,92,0,0,1,1,0,1
30,0,8,4,44,0,1,1,0,0,1
33,1,7,1,23,1,1,0,1,1,1
28,1,1,6,2,0,0,1,0,1,1
47,1,2,5,61,1,0,1,1,0,1
33,0,2,9,78,0,0,0,0,1,1
5,1,4,9,66,1,0,0,1,1,1
48,1,3,8,54,1,0,0,0,0,1
19,1,1,7,94,0,0,0,1,1,1
4,1,2,2,9,1,0,1,0,0,1
35,1,9,8,54,1,0,0,0,0,1
49,0,1,3,21,0,0,1,1,0,1
17,0,9,6,13,1,0,0,1,1,1
44,0,7,10,72,1,1,0,1,1,1
28,0,2,7,81,1,1,0,0,1,1
30,1,2,6,7,1,1,0,0,1,1
29,0,5,5,14,1,0,1,1,0,1
46,0,5,4,14,1,1,0,1,0,1
6,0,4,2,51,0,0,0,1,1,1
35,1,10,9,69,0,0,1,0,0,1
41,0,10,7,53,0,0,0,1,1,1
37,1,3,7,75,1,1,1,1,1,1
24,1,4,4,41,0,0,1,0,0,1
29,1,10,5,18,0,0,1,1,1,1
49,0,4,6,39,1,1,0,0,0,1
46,1,2,2,68,0,0,1,0,0,1
31,0,5,4,26,0,1,0,0,1,1
35,0,5,4,73,1,1,1,1,0,1
33,0,5,4,42,0,0,1,0,0,1
21,1,10,7,51,0,1,0,0,1,1
32,1,1,7,45,0,1,1,1,0,1
23,0,6,7,13,0,0,0,0,1,1
33,1,2,7,63,0,0,1,0,0,1
3,1,7,2,60,0,0,0,1,0,1
18,1,4,5,97,1,0,0,0,1,1
25,0,5,10,57,1,1,1,1,1,1
42,1,5,2,48,0,0,1,0,0,1
31,1,5,5,78,0,1,0,0,1,1
3,0,2,6,28,0,0,1,1,0,1
40,1,5,3,25,1,1,0,0,0,1
46,0,3,6,26,0,0,1,1,1,1
24,1,4,5,66,1,1,0,1,0,1
50,1,2,4,66,1,0,0,0,0,1
32,1,4,10,34,0,1,1,1,1,1
47,1,9,9,59,1,0,0,0,1,1
22,1,8,8,60,0,1,0,0,1,1
23,1,3,7,98,1,0,1,1,1,1
2,0,1,1,69,0,0,1,0,0,1
27,1,1,9,77,0,0,0,0,0,1
42,1,6,9,89,1,0,1,0,0,1
2,1,3,6,2,0,0,0,0,0,1
26,0,4,7,32,1,1,0,0,0,1
17,0,1,3,41,0,1,1,0,0,1
40,0,8,5,12,1,1,1,0,1,1
33,1,1,7,28,0,0,1,1,1,1
9,1,5,1,8,0,0,0,0,0,1
43,0,6,1,31,0,1,1,1,0,1
48,0,2,5,21,1,0,0,1,0,1
39,0,7,9,85,1,1,1,1,1,1
29,1,7,7,57,0,0,0,0,0,1
42,0,1,1,56,0,1,0,1,1,1
26,1,4,5,97,0,1,1,0,0,1
35,1,4,8,9,1,1,0,1,1,1
50,1,5,8,24,0,0,0,1,0,1
25,0,1,2,61,0,1,0,0,1,1
24,1,1,7,62,0,1,1,1,1,1
13,0,7,10,75,1,0,0,1,1,1
7,0,9,5,2,0,0,1,0,0,1
36,0,1,9,82,0,0,0,0,0,1
45,0,2,3,96,1,1,0,0,1,1
20,1,6,1,46,0,0,1,0,0,1
1,1,6,4,54,1,0,0,1,1,1
8,1,2,7,25,1,0,0,0,1,1
46,1,9,1,12,1,0,0,0,1,1
16,0,4,2,6,1,0,1,1,1,1
14,0,7,5,33,1,1,1,1,0,1
12,0,6,9,21,0,1,1,1,0,1
23,0,3,1,83,0,0,0,0,1,1
15,1,8,4,22,0,0,1,0,1,1
28,0,7,3,47,0,0,0,1,1,1
34,1,9,5,13,0,1,0,1,0,1
2,0,3,5,93,0,1,0,0,1,1
32,0,1,10,86,0,1,1,0,0,1
23,0,2,2,51,0,0,1,0,1,1
22,0,1,5,82,1,1,1,1,0,1
25,1,5,9,38,0,1,0,1,1,1
22,1,10,5,40,0,1,1,1,1,1
22,1,2,10,35,1,0,1,0,0,1
49,1,3,2,5,0,1,0,0,0,1
42,0,8,7,22,1,1,1,1,1,1
6,0,10,6,9,0,1,1,1,1,1
15,1,5,7,98,0,0,1,0,1,1
43,1,4,8,84,1,1,1,1,1,1
37,0,5,10,95,0,0,1,0,1,1
33,0,10,5,59,1,0,1,0,0,1
8,1,6,2,29,1,1,0,0,1,1
44,1,7,7,96,1,0,0,0,0,1
44,1,9,7,69,0,1,0,1,0,1
5,0,1,8,4,1,1,1,0,0,1
39,1,4,7,78,1,0,1,1,0,1
4,1,9,10,56,0,1,0,1,1,1
6,1,5,7,42,1,1,0,0,1,1
45,1,8,9,51,1,1,1,1,1,1
32,1,1,8,88,0,0,1,1,0,1
30,0,4,2,76,0,0,1,1,1,1
47,1,9,2,5,0,0,1,1,0,1
35,0,1,7,100,1,1,1,1,1,1
40,1,1,10,1,1,1,1,0,1,1
16,1,4,10,16,0,0,0,1,1,1
13,1,3,3,87,1,0,0,0,1,1
50,0,7,1,11,1,1,1,1,0,1
42,0,3,9,43,0,0,0,0,0,1
30,0,1,3,53,0,1,0,1,1,1
19,1,10,1,77,0,0,1,1,1,1
17,1,2,6,6,1,1,0,1,0,1
19,0,10,4,89,0,1,1,0,0,1
28,0,4,1,31,1,1,1,0,0,1
26,1,1,4,28,0,0,0,1,0,1
37,0,1,8,45,1,1,0,0,0,1
26,1,8,7,72,0,0,0,0,0,1
23,0,7,1,77,1,1,1,1,1,1
9,0,8,10,52,1,1,1,0,0,1
12,0,4,9,80,1,1,1,1,0,1
1,1,6,6,24,1,0,1,0,0,1
1,1,3,2,52,1,1,0,0,1,1
47,0,8,3,93,1,0,0,0,1,1
34,1,4,7,28,1,1,0,0,1,1
32,1,3,3,92,0,1,1,1,1,1
48,1,4,3,81,1,0,1,0,0,1
25,1,6,5,94,1,0,0,0,0,1
40,0,7,3,82,1,1,1,1,0,1
45,1,7,3,80,1,0,1,1,0,1
1,1,4,5,5,1,1,0,1,1,1
16,0,8,5,75,0,0,0,1,1,1
39,1,7,9,37,0,1,1,0,0,1
5,1,2,1,2,0,0,1,0,1,0
22,1,8,1,34,1,0,0,0,1,1
29,0,9,9,54,1,0,1,1,0,1
3,0,5,5,46,1,0,0,1,1,1
12,1,4,4,32,0,1,0,0,0,1
26,1,4,2,92,0,0,0,1,1,1
16,0,4,9,2,0,0,1,1,0,1
37,0,6,6,68,1,0,0,0,0,1
22,0,4,9,58,1,1,0,0,0,1
29,1,7,5,77,1,1,0,1,0,1
14,1,7,4,99,1,0,0,1,0,1
28,0,5,7,91,0,1,1,0,1,1
5,1,5,5,95,0,1,0,0,0,1
47,1,10,8,17,0,0,0,1,0,1
49,1,8,8,76,0,1,0,0,1,1
30,1,7,2,65,0,0,1,0,1,1
46,1,7,5,24,1,0,1,1,1,1
5,1,6,10,19,0,1,0,1,1,1
12,1,7,8,70,1,1,0,1,0,1
16,0,7,3,74,1,0,0,0,0,1
26,0,10,7,68,0,0,0,1,1,1
26,0,2,3,28,0,0,1,1,1,1
48,0,10,6,17,1,1,0,1,1,1
21,0,2,2,71,1,1,1,1,0,1
39,0,10,6,26,1,1,0,1,0,1
36,0,7,6,41,1,1,1,0,1,1
33,0,10,8,65,0,0,1,1,1,1
30,0,7,5,98,1,1,1,1,0,1
37,1,7,1,25,0,1,1,0,0,1
23,1,5,8,22,0,1,1,1,1,1
10,0,1,9,4,0,0,1,0,0,1
5,1,2,1,79,0,1,0,0,1,1
36,1,9,5,10,1,0,1,1,1,1
34,0,8,6,18,1,1,1,1,1,1
31,0,8,4,79,0,0,0,0,0,1
10,0,10,2,95,1,0,1,1,0,1
19,1,1,5,11,0,0,0,1,0,1
32,1,6,4,1,0,0,1,1,1,1
1,0,9,7,42,1,1,1,1,1,1
5,1,8,6,21,1,1,1,1,1,1
45,1,3,3,25,1,1,0,0,1,1
4,1,4,9,32,1,0,1,0,1,1
16,0,3,4,23,0,0,1,0,1,1
24,1,6,5,68,0,0,0,0,1,1
16,1,9,3,20,0,0,1,0,1,1
2,1,8,8,45,1,1,1,0,0,1
49,1,10,7,17,1,1,1,1,1,1
28,1,4,7,4,0,0,0,1,1,1
32,1,2,8,7,1,1,1,0,1,1
27,1,8,7,84,0,0,1,0,0,1
20,0,8,3,56,0,1,1,1,0,1
24,0,6,3,4,0,1,1,1,1,1
12,1,8,2,12,1,0,0,1,0,1
50,0,9,1,82,1,1,1,0,1,1
35,1,1,5,92,0,0,1,0,0,1
33,1,9,4,65,1,1,0,1,0,1
33,1,2,2,36,1,0,1,0,1,1
43,0,1,1,89,1,0,0,0,0,1
37,1,8,3,28,0,0,0,1,1,1
12,1,8,6,68,1,1,0,1,1,1
3,0,4,2,31,1,1,0,1,0,1
1,0,8,10,47,1,0,1,0,0,1
33,1,7,7,1,0,0,1,1,1,1
40,0,2,7,68,0,1,1,0,1,1
10,0,5,3,96,0,0,1,1,1,1
43,1,10,1,50,1,0,0,1,1,1
44,1,4,9,34,0,1,1,1,0,1
29,1,3,5,82,1,0,0,1,0,1
13,0,1,2,14,0,0,1,0,1,1
12,0,5,8,98,1,0,1,1,1,1
31,0,10,10,71,0,1,0,1,1,1
46,1,8,10,64,0,1,1,1,1,1
2,0,9,4,37,1,0,1,0,1,1
50,0,7,10,85,0,0,0,1,1,1
35,1,1,7,16,1,1,1,0,1,1
23,1,1,5,79,1,0,1,1,0,1
17,1,1,3,44,1,0,1,0,0,1
26,0,2,10,0,1,0,0,0,1,1
8,1,1,8,2,1,1,1,0,0,1
29,0,4,2,69,1,1,0,0,1,1
26,0,10,1,51,0,1,0,0,0,1
10,1,9,5,52,0,0,1,0,1,1
26,1,4,4,2,0,0,1,1,1,1
34,1,4,10,93,0,1,0,0,1,1
41,1,7,7,46,0,0,1,0,0,1
7,1,9,9,74,0,1,1,1,0,1
4,0,7,6,90,1,0,0,0,0,1
50,0,1,1,85,1,1,1,0,1,1
45,0,1,8,5,1,1,1,1,0,1
11,1,4,2,45,0,1,0,1,1,1
29,0,4,4,94,1,0,0,1,1,1
36,1,1,3,60,1,0,1,1,1,1
25,1,6,6,42,1,1,1,0,0,1
21,0,10,2,55,1,0,0,0,0,1
36,0,2,5,69,0,1,1,0,0,1
10,1,5,9,19,1,1,0,1,0,1
37,0,8,3,46,1,1,1,1,0,1
9,1,3,2,53,1,1,1,1,0,1
24,0,9,2,40,0,0,0,1,1,1
35,0,7,9,74,0,1,1,0,1,1
49,0,9,6,65,1,0,0,1,0,1
35,0,1,2,30,1,1,1,1,1,1
48,0,5,3,63,0,1,1,0,1,1
36,1,3,1,89,0,1,0,1,1,1
18,0,4,2,90,1,1,0,1,0,1
49,0,4,2,57,0,1,0,0,0,1
39,0,7,2,54,0,1,0,1,0,1
32,1,10,7,45,0,1,1,1,1,1
24,1,8,3,94,1,0,0,0,0,1
23,1,10,4,23,0,0,0,1,1,1
32,1,5,2,76,0,0,0,1,0,1
37,1,10,5,88,1,0,0,0,1,1
12,0,7,9,36,1,0,1,0,0,1
49,0,3,9,40,1,1,0,1,1,1
13,0,3,7,24,0,1,0,0,1,1
23,1,3,8,28,0,0,1,0,1,1
25,1,4,5,30,1,1,1,1,0,1
35,0,6,5,1,1,1,0,1,0,1
41,1,5,3,11,1,1,1,1,1,1
30,1,8,6,4,1,0,1,1,0,1
17,1,5,1,60,1,0,0,0,0,1
49,0,5,3,90,0,0,0,0,0,1
20,0,10,2,55,0,1,0,1,0,1
48,1,2,7,97,1,0,0,0,1,1
25,1,5,9,77,0,1,0,1,1,1
22,1,7,4,70,1,1,1,1,1,1
13,1,2,7,36,0,1,0,0,1,1
19,0,6,8,35,0,1,1,1,1,1
49,1,7,10,73,1,1,1,1,1,1
36,0,5,2,28,1,0,1,0,1,1
12,0,9,7,79,1,0,0,1,0,1
41,0,4,3,37,1,0,1,1,1,1
19,1,10,8,84,0,1,0,0,1,1
12,0,1,6,40,0,0,0,1,1,1
9,0,8,3,32,1,0,0,1,0,1
7,1,8,8,92,0,1,1,1,0,1
28,1,7,3,80,1,0,1,1,1,1
14,1,8,9,12,1,1,1,1,1,1
31,0,2,3,5,1,1,0,1,0,1
19,1,3,1,65,1,1,1,0,0,1
47,0,9,2,7,1,1,1,1,1,1
16,0,1,4,63,0,0,0,1,1,1
5,1,8,2,95,0,0,0,1,1,1
35,0,8,4,99,0,1,0,0,1,1
12,0,7,4,8,1,0,1,0,1,1
25,0,5,4,22,1,0,0,1,1,1
21,0,4,1,70,0,1,1,1,1,1
36,1,10,9,94,0,1,0,1,0,1
23,0,10,10,20,1,1,1,0,1,1
16,1,10,7,0,0,0,1,0,0,1
